t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10510,1,1,0.010183,14.477001,-1.188012,89.959381,14.524936,0.000250,0.146110,-0.000250,-0.146110,0.146110,0.331958,0.295995,0.331958,3.193854,-0.000102,-0.037609,-0.043248,0.000012,0.003094,-0.000008,0.057313,0.003094,0.038971,52
10520,1,1,0.010168,14.408800,-1.228685,89.958908,14.460418,0.000329,0.140128,-0.000329,-0.140128,0.140129,0.331075,0.295000,0.331075,2.947535,-0.000065,-0.035467,-0.041338,0.000003,0.002976,-0.000008,0.054468,0.002976,0.036964,53
10530,1,1,0.010190,14.342947,-1.267402,89.958435,14.398213,0.000374,0.134297,-0.000374,-0.134297,0.134298,0.330245,0.294024,0.330245,2.716062,-0.000010,-0.033398,-0.039487,0.000003,0.002861,-0.000006,0.051717,0.002861,0.035022,54
10540,1,1,0.010267,14.279361,-1.304222,89.958084,14.338225,0.000332,0.128628,-0.000332,-0.128628,0.128628,0.329467,0.293084,0.329467,2.499332,0.000002,-0.031411,-0.037699,0.000005,0.002748,-0.000004,0.049070,0.002748,0.033152,55
10550,1,1,0.010356,14.217956,-1.339211,89.957825,14.280362,0.000255,0.123122,-0.000255,-0.123122,0.123122,0.328745,0.292183,0.328745,2.296819,-0.000018,-0.029507,-0.035974,0.000006,0.002639,-0.000004,0.046527,0.002639,0.031355,56
10560,1,1,0.010426,14.158641,-1.372436,89.957596,14.224520,0.000192,0.117781,-0.000192,-0.117781,0.117781,0.328090,0.291337,0.328090,2.107960,-0.000038,-0.027687,-0.034314,0.000006,0.002532,-0.000003,0.044091,0.002532,0.029635,57
10570,1,1,0.010476,14.101328,-1.403962,89.957359,14.170604,0.000152,0.112599,-0.000152,-0.112599,0.112599,0.327498,0.290548,0.327498,1.931932,-0.000048,-0.025950,-0.032716,0.000004,0.002428,-0.000003,0.041758,0.002428,0.027987,58
10580,1,1,0.010517,14.045927,-1.433853,89.957138,14.118519,0.000120,0.107569,-0.000120,-0.107569,0.107569,0.326978,0.289829,0.326978,1.767938,-0.000051,-0.024293,-0.031177,0.000003,0.002326,-0.000003,0.039524,0.002326,0.026411,59
10590,1,1,0.010555,13.992353,-1.462172,89.956932,14.068172,0.000086,0.102680,-0.000086,-0.102680,0.102680,0.326530,0.289174,0.326530,1.615078,-0.000053,-0.022711,-0.029692,0.000003,0.002227,-0.000002,0.037382,0.002227,0.024902,60
10600,1,1,0.010591,13.940526,-1.488974,89.956757,14.019481,0.000049,0.097923,-0.000049,-0.097923,0.097923,0.326155,0.288588,0.326155,1.472608,-0.000058,-0.021200,-0.028259,0.000002,0.002129,-0.000002,0.035327,0.002129,0.023457,61
10610,1,1,0.010622,13.890367,-1.514314,89.956596,13.972360,0.000012,0.093289,-0.000012,-0.093289,0.093289,0.325855,0.288061,0.325855,1.339774,-0.000064,-0.019755,-0.026873,0.000002,0.002034,-0.000001,0.033353,0.002034,0.022070,62
10620,1,1,0.010648,13.841805,-1.538239,89.956451,13.926736,-0.000020,0.088770,0.000020,-0.088770,0.088770,0.325620,0.287596,0.325620,1.215978,-0.000068,-0.018375,-0.025530,0.000001,0.001940,-0.000001,0.031455,0.001940,0.020740,63
