t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
560,0,1,-0.330173,-4.204411,-0.255436,85.217819,-4.224327,-0.016420,0.078268,0.016420,-0.078268,0.079972,0.486559,0.842491,0.842491,1.439959,-0.003588,0.017899,-0.023387,-0.001149,-0.001882,-0.000204,0.029668,0.002215,0.004157,57
570,0,1,-0.348835,-4.181312,-0.263794,85.090729,-4.203407,-0.005345,0.077345,0.005345,-0.077345,0.077529,0.473771,0.820458,0.820458,1.391120,-0.001420,0.017091,-0.023302,-0.001011,-0.001837,-0.000043,0.028933,0.002098,0.004011,58
580,0,1,-0.368512,-4.193899,-0.275199,84.975845,-4.218346,0.004623,0.076583,-0.004623,-0.076583,0.076723,0.456734,0.783060,0.783060,1.363200,0.000536,0.016225,-0.022545,-0.000892,-0.001969,0.000105,0.027781,0.002164,0.003981,59
590,0,1,-0.386380,-4.207486,-0.286541,84.869164,-4.234175,0.013322,0.076924,-0.013322,-0.076924,0.078069,0.440370,0.751816,0.751816,1.387109,0.002230,0.016128,-0.022262,-0.000786,-0.002075,0.000243,0.027581,0.002232,0.004118,60
600,0,1,-0.402651,-4.221322,-0.298279,84.770340,-4.250197,0.020964,0.077728,-0.020964,-0.077728,0.080505,0.424808,0.724971,0.724971,1.435712,0.003713,0.016450,-0.022207,-0.000687,-0.002159,0.000369,0.027884,0.002296,0.004349,61
610,0,1,-0.417491,-4.235003,-0.310632,84.678970,-4.266039,0.027704,0.078639,-0.027704,-0.078639,0.083377,0.410075,0.701295,0.701295,1.493496,0.005018,0.016985,-0.022242,-0.000591,-0.002224,0.000484,0.028432,0.002352,0.004631,62
620,0,1,-0.431040,-4.248327,-0.323683,84.594582,-4.281519,0.033662,0.079463,-0.033662,-0.079463,0.086299,0.396143,0.679949,0.679949,1.551229,0.006172,0.017606,-0.022292,-0.000497,-0.002271,0.000588,0.029069,0.002398,0.004934,63
630,0,1,-0.443415,-4.261215,-0.337440,84.516647,-4.296569,0.038926,0.080098,-0.038926,-0.080098,0.089055,0.382954,0.660356,0.660356,1.603498,0.007192,0.018232,-0.022316,-0.000404,-0.002303,0.000681,0.029701,0.002435,0.005239,64
640,0,1,-0.454721,-4.273666,-0.351867,84.444695,-4.311198,0.043569,0.080503,-0.043569,-0.080503,0.091537,0.370438,0.642119,0.642119,1.647407,0.008093,0.018816,-0.022292,-0.000311,-0.002321,0.000762,0.030273,0.002463,0.005534,65
650,0,1,-0.465053,-4.285728,-0.366907,84.378189,-4.325458,0.047648,0.080672,-0.047648,-0.080672,0.093693,0.358520,0.624959,0.624959,1.681720,0.008885,0.019331,-0.022212,-0.000219,-0.002329,0.000834,0.030758,0.002484,0.005809,66
