t_ms,gps_outage,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_max,dx_vel,dx_att,dx_pos,nhc_count
1400,0,-0.830742,-4.939415,-2.102080,79.954529,-5.431508,-0.038680,0.062748,0.038680,-0.062748,0.073712,0.468032,0.038929,0.002510,0.018634,141
1410,0,-0.842689,-4.942738,-2.128124,79.793785,-5.446485,-0.041743,0.061279,0.041743,-0.061279,0.074146,0.457393,0.038800,0.002580,0.018678,142
1420,0,-0.855114,-4.946144,-2.154037,79.628799,-5.461674,-0.044763,0.059699,0.044763,-0.059699,0.074618,0.445162,0.038639,0.002652,0.018707,143
1430,0,-0.868032,-4.949663,-2.179807,79.459686,-5.477094,-0.047720,0.058011,0.047720,-0.058011,0.075116,0.431295,0.038446,0.002725,0.018720,144
1440,0,-0.881454,-4.953326,-2.205422,79.286674,-5.492774,-0.050594,0.056214,0.050594,-0.056214,0.075629,0.415722,0.038219,0.002799,0.018716,145
1450,0,-0.895389,-4.957168,-2.230872,79.109978,-5.508740,-0.053363,0.054313,0.053363,-0.054313,0.076141,0.398400,0.037956,0.002873,0.018696,146
1460,0,-0.909846,-4.961222,-2.256146,78.929886,-5.525022,-0.056006,0.052312,0.056006,-0.052312,0.076637,0.379336,0.037659,0.002946,0.018658,147
1470,0,-0.924829,-4.965522,-2.281233,78.746666,-5.541644,-0.058501,0.050220,0.058501,-0.050220,0.077100,0.358543,0.037326,0.003016,0.018603,148
1480,0,-0.940344,-4.970103,-2.306126,78.560631,-5.558631,-0.060826,0.048045,0.060826,-0.048045,0.077512,0.338985,0.036960,0.003083,0.018532,149
1490,0,-0.956388,-4.974998,-2.330816,78.372147,-5.576015,-0.062962,0.045799,0.062962,-0.045799,0.077858,0.350927,0.036558,0.003146,0.018443,150
1500,0,-0.972959,-4.980243,-2.355298,78.181541,-5.593818,-0.064892,0.043498,0.064892,-0.043498,0.078122,0.362232,0.036124,0.003204,0.018338,151
1510,0,-0.990050,-4.985870,-2.379566,77.989189,-5.612068,-0.066601,0.041156,0.066601,-0.041156,0.078291,0.372802,0.035659,0.003255,0.018217,152
1520,0,-1.007649,-4.991910,-2.403618,77.795448,-5.630787,-0.068080,0.038794,0.068080,-0.038794,0.078358,0.382533,0.035166,0.003300,0.018082,153
1530,0,-1.025741,-4.998390,-2.427452,77.600647,-5.649995,-0.069324,0.036433,0.069324,-0.036433,0.078314,0.391345,0.034649,0.003337,0.017935,154
1540,0,-1.044306,-5.005335,-2.451069,77.405090,-5.669709,-0.070335,0.034094,0.070335,-0.034094,0.078163,0.399185,0.034114,0.003366,0.017780,155
1550,0,-1.063320,-5.012761,-2.474472,77.209038,-5.689935,-0.071120,0.031802,0.071120,-0.031802,0.077906,0.406002,0.033568,0.003387,0.017619,156
1560,0,-1.082755,-5.020679,-2.497666,77.012733,-5.710683,-0.071694,0.029578,0.071694,-0.029578,0.077556,0.411803,0.033019,0.003401,0.017458,157
1570,0,-1.102580,-5.029090,-2.520656,76.816322,-5.731944,-0.072079,0.027442,0.072079,-0.027442,0.077126,0.416608,0.032476,0.003408,0.017302,158
1580,0,-1.122764,-5.037987,-2.543452,76.619957,-5.753711,-0.072299,0.025411,0.072299,-0.025411,0.076635,0.420464,0.031948,0.003409,0.017153,159
1590,0,-1.143272,-5.047352,-2.566062,76.423676,-5.775961,-0.072382,0.023498,0.072382,-0.023498,0.076100,0.423449,0.031443,0.003404,0.017019,160
1600,0,-1.164074,-5.057162,-2.588496,76.227486,-5.798669,-0.072357,0.021711,0.072357,-0.021711,0.075544,0.425677,0.030969,0.003396,0.016901,161
1610,0,-1.185137,-5.067380,-2.610765,76.031410,-5.821801,-0.072253,0.020052,0.072253,-0.020052,0.074984,0.427245,0.030533,0.003385,0.016805,162
1620,0,-1.206435,-5.077968,-2.632880,75.835373,-5.845321,-0.072098,0.018520,0.072098,-0.018520,0.074438,0.428285,0.030141,0.003372,0.016732,163
1630,0,-1.227944,-5.088879,-2.654852,75.639359,-5.869183,-0.071912,0.017107,0.071912,-0.017107,0.073919,0.428910,0.029796,0.003358,0.016685,164
1640,0,-1.249643,-5.100064,-2.676689,75.443275,-5.893347,-0.071715,0.015798,0.071715,-0.015798,0.073434,0.429231,0.029501,0.003343,0.016664,165
1650,0,-1.271518,-5.111472,-2.698398,75.247108,-5.917764,-0.071514,0.014580,0.071514,-0.014580,0.072985,0.429317,0.029251,0.003329,0.016668,166
1660,0,-1.293556,-5.123055,-2.719987,75.050835,-5.942394,-0.071315,0.013431,0.071315,-0.013431,0.072569,0.429262,0.029047,0.003315,0.016696,167
